round,teamA,seedA,teamB,seedB,winner,probability,probA,probB
Round of 64,Gonzaga,1,Penn,16,Penn,0.4335369648183486,0.5664630351816514,0.4335369648183486
Round of 64,Pittsburgh,8,Oklahoma St.,9,Oklahoma St.,0.4962475011594749,0.5037524988405251,0.4962475011594749
Round of 64,Houston,5,Harvard,12,Harvard,0.4702518224610528,0.5297481775389472,0.4702518224610528
Round of 64,Louisville,4,Vermont,13,Vermont,0.46016076382873927,0.5398392361712607,0.46016076382873927
Round of 64,SMU,6,Wichita St.,11,SMU,0.5179574296110457,0.5179574296110457,0.48204257038895426
Round of 64,Florida,3,Stephen F. Austin,14,Florida,0.5451226488133079,0.5451226488133079,0.45487735118669215
Round of 64,Saint Mary's,7,Ohio St.,10,Ohio St.,0.4882350575197808,0.5117649424802192,0.4882350575197808
Round of 64,Villanova,2,Georgia St.,15,Villanova,0.555315666210121,0.555315666210121,0.44468433378987904
Round of 64,Kentucky,1,Southern,16,Southern,0.4310101747606825,0.5689898252393175,0.4310101747606825
Round of 64,Loyola Chicago,8,UCF,9,UCF,0.49519751593543315,0.5048024840645668,0.49519751593543315
Round of 64,Utah,5,Oregon,12,Utah,0.5291535245644154,0.5291535245644154,0.47084647543558455
Round of 64,Connecticut,4,La Salle,13,Connecticut,0.537794075895615,0.537794075895615,0.462205924104385
Round of 64,Cincinnati,6,Vanderbilt,11,Vanderbilt,0.48291752457488746,0.5170824754251125,0.48291752457488746
Round of 64,Texas Tech,3,Colgate,14,Texas Tech,0.5450876906805184,0.5450876906805184,0.45491230931948157
Round of 64,Michigan,7,Marquette,10,Michigan,0.5131997984116115,0.5131997984116115,0.48680020158838855
Round of 64,Arizona,2,Cal St. Bakersfield,15,Arizona,0.5549314832966178,0.5549314832966178,0.4450685167033822
Round of 64,Duke,1,Drexel,16,Duke,0.5670905961146433,0.5670905961146433,0.4329094038853567
Round of 64,Wisconsin,8,Florida Atlantic,9,Wisconsin,0.504469991356461,0.504469991356461,0.495530008643539
Round of 64,Virginia,5,Middle Tennessee,12,Virginia,0.5278241350628067,0.5278241350628067,0.4721758649371933
Round of 64,Syracuse,4,Iona,13,Iona,0.46384958565799106,0.5361504143420089,0.46384958565799106
Round of 64,San Diego St.,6,Tennessee,11,Tennessee,0.4841075019344888,0.5158924980655112,0.4841075019344888
Round of 64,Notre Dame,3,Davidson,14,Davidson,0.45643321224905853,0.5435667877509415,0.45643321224905853
Round of 64,Michigan St.,7,Butler,10,Michigan St.,0.5123773951634905,0.5123773951634905,0.48762260483650954
Round of 64,Purdue,2,Grand Canyon,15,Purdue,0.5540931337474473,0.5540931337474473,0.4459068662525527
Round of 64,Indiana,1,North Carolina Central,16,Indiana,0.5655563147172384,0.5655563147172384,0.43444368528276156
Round of 64,Memphis,8,St. Bonaventure,9,St. Bonaventure,0.4952325150250697,0.5047674849749303,0.4952325150250697
Round of 64,Auburn,5,Murray St.,12,Auburn,0.5287512323984545,0.5287512323984545,0.47124876760154555
Round of 64,West Virginia,4,Hawaii,13,Hawaii,0.4639894914220871,0.5360105085779129,0.4639894914220871
Round of 64,Iowa St.,6,Iowa,11,Iowa St.,0.5166099886442295,0.5166099886442295,0.48339001135577053
Round of 64,UCLA,3,Valparaiso,14,Valparaiso,0.4570102140856773,0.5429897859143227,0.4570102140856773
Round of 64,Creighton,7,Utah St.,10,Creighton,0.5131648034092523,0.5131648034092523,0.4868351965907477
Round of 64,Texas,2,Florida Gulf Coast,15,Texas,0.5512974358308911,0.5512974358308911,0.4487025641691089
Round of 32,Penn,16,Oklahoma St.,9,Oklahoma St.,0.5309198425421715,0.46908015745782855,0.5309198425421715
Round of 32,Harvard,12,Vermont,13,Vermont,0.49554750833850303,0.504452491661497,0.49554750833850303
Round of 32,SMU,6,Florida,3,SMU,0.4865902333623805,0.4865902333623805,0.5134097666376195
Round of 32,Ohio St.,10,Villanova,2,Ohio St.,0.46810883751327614,0.46810883751327614,0.5318911624867239
Round of 32,Southern,16,UCF,9,UCF,0.5324059596870112,0.4675940403129888,0.5324059596870112
Round of 32,Utah,5,Connecticut,4,Utah,0.4957050059094843,0.4957050059094843,0.5042949940905157
Round of 32,Vanderbilt,11,Texas Tech,3,Texas Tech,0.5315588244881783,0.46844117551182174,0.5315588244881783
Round of 32,Michigan,7,Arizona,2,Arizona,0.5193922694046174,0.48060773059538264,0.5193922694046174
Round of 32,Duke,1,Wisconsin,8,Duke,0.530465191544499,0.530465191544499,0.469534808455501
Round of 32,Virginia,5,Iona,13,Virginia,0.5324333673351895,0.5324333673351895,0.46756663266481047
Round of 32,Tennessee,11,Davidson,14,Tennessee,0.5141621256437763,0.5141621256437763,0.4858378743562237
Round of 32,Michigan St.,7,Purdue,2,Purdue,0.5192172958813408,0.48078270411865914,0.5192172958813408
Round of 32,Indiana,1,St. Bonaventure,9,St. Bonaventure,0.46590530052644186,0.5340946994735581,0.46590530052644186
Round of 32,Auburn,5,Hawaii,13,Hawaii,0.46758412252562653,0.5324158774743735,0.46758412252562653
Round of 32,Iowa St.,6,Valparaiso,14,Iowa St.,0.531366412006947,0.531366412006947,0.468633587993053
Round of 32,Creighton,7,Texas,2,Creighton,0.4835825077501304,0.4835825077501304,0.5164174922498697
Sweet 16,Oklahoma St.,9,Vermont,13,Oklahoma St.,0.5165147495696196,0.5165147495696196,0.4834852504303804
Sweet 16,SMU,6,Ohio St.,10,SMU,0.5150974191345522,0.5150974191345522,0.4849025808654478
Sweet 16,UCF,9,Utah,5,Utah,0.5178619517956367,0.4821380482043633,0.5178619517956367
Sweet 16,Texas Tech,3,Arizona,2,Arizona,0.5025800002015999,0.4974199997984001,0.5025800002015999
Sweet 16,Duke,1,Virginia,5,Virginia,0.48136829380175483,0.5186317061982452,0.48136829380175483
Sweet 16,Tennessee,11,Purdue,2,Purdue,0.5329494268829189,0.46705057311708104,0.5329494268829189
Sweet 16,St. Bonaventure,9,Hawaii,13,St. Bonaventure,0.5154648868028878,0.5154648868028878,0.4845351131971122
Sweet 16,Iowa St.,6,Creighton,7,Creighton,0.4977874986710965,0.5022125013289035,0.4977874986710965
Elite 8,Oklahoma St.,9,SMU,6,Oklahoma St.,0.4876051064745093,0.4876051064745093,0.5123948935254907
Elite 8,Utah,5,Arizona,2,Arizona,0.5112049708283132,0.4887950291716868,0.5112049708283132
Elite 8,Virginia,5,Purdue,2,Virginia,0.48813006432453654,0.48813006432453654,0.5118699356754635
Elite 8,St. Bonaventure,9,Creighton,7,St. Bonaventure,0.4903601312284559,0.4903601312284559,0.5096398687715441
Final Four,Oklahoma St.,9,Arizona,2,Arizona,0.5279640807423971,0.4720359192576029,0.5279640807423971
Final Four,Virginia,5,St. Bonaventure,9,St. Bonaventure,0.4828903630515782,0.5171096369484218,0.4828903630515782
Championship,Arizona,2,St. Bonaventure,9,Arizona,0.5301853903275704,0.5301853903275704,0.4698146096724296
